Time,dir_x,dir_y,dir_z
1002949999999.9865,-0.5721658,-0.27121844,0.77399409
2722880666666.6533,0.1112631,0.98096484,0.15914933
6376704666667.015,-0.75957073,-0.07672501,0.64588356
376492000000.0009,-0.68579802,0.46070064,0.56341459
2833976666666.636,-0.90511439,-0.12362787,-0.40679735
583254000000.003,-0.361945,-0.60011882,0.71333949
1618092666666.6904,0.721682,0.37777679,-0.58005154
2843234666666.6343,-0.02302427,-0.47156219,0.88153218
4986975999999.908,-0.88273977,0.23680908,0.40582258
225277999999.9994,-0.08784869,0.95435286,0.28547019
10538690000000.01,-0.89590283,0.14601515,-0.41956847
891853999999.9908,-0.56848761,0.76007191,-0.31482143
2820603999999.971,0.84836318,0.14116247,-0.51024805
16547131999996.207,0.45139989,-0.77359906,0.44472758
3284532666666.5645,-0.66218074,0.72802733,-0.17746229
26786480000007.184,-0.83459712,-0.13771302,-0.53336927
1011179333333.3196,-0.70675066,-0.62259479,-0.33597505
1116103333333.3174,0.12505422,0.87040139,0.47619624
264367333333.33237,-0.70384529,0.66343553,0.25388011
1130504666666.652,-0.14547749,0.68915413,-0.70986117
2984161999999.9453,0.92362455,0.30724362,0.22917033
2591211333333.341,-0.95903574,-0.25922218,-0.11425549
1876288000000.044,0.62266267,0.44378259,-0.64447515
4618713333333.125,-0.98025515,0.10872908,0.16516003
791044666666.6615,0.07355861,-0.11224849,0.99095379
408380666666.6682,-0.24743128,0.40035527,0.88232274
9676667333333.889,-0.46396765,-0.22063242,0.85793669
63511937333279.43,-0.41590807,0.01092623,0.90934102
700521999999.9984,0.78379385,0.57522534,0.23405772
1335209333333.3347,-0.52620691,-0.43077522,0.73317051
2303184666666.72,-0.46560981,0.08616272,0.88078572
1444248000000.01,-0.15427898,0.52451866,-0.83730411
1181937999999.9893,-0.90444246,0.42617053,0.01903963
2448226666666.697,0.90950315,-0.23105103,-0.34557119
570910000000.0035,-0.80109822,-0.55760702,0.21752255
751955333333.3297,0.56524934,-0.81267023,-0.14163433
1250858666666.6614,0.73564506,0.51280931,-0.44255277
447470000000.0023,0.00807633,-0.61371956,0.78948279
3722744666666.495,-0.70396231,-0.68513669,-0.18714909
12251419999998.926,-0.77428785,0.21305434,-0.59589108
2649845333333.3315,-0.71701015,0.21681886,-0.66248474
1898918666666.713,-0.9965324,0.07595075,-0.03398023
19087938666664.105,-0.2679728,0.95966862,-0.08501005
2983133333333.279,0.0990016,0.47565272,-0.87404415
511247333333.3369,-0.1551591,0.64173346,0.75106846
448498666666.669,0.50068387,0.15277456,-0.85204201
7280902666667.301,-0.82822299,0.56013104,-0.0173176
436154666666.6688,-0.21710753,0.75220646,0.62213323
696407333333.3319,0.91539513,-0.3979807,-0.06052371
4917026666666.553,0.79085776,0.35016333,-0.50192593
21811848000000.887,-0.18379151,0.69279604,-0.69731939
383692666666.6677,-0.90253039,-0.40363784,-0.1500513
12860390666665.207,0.98031398,-0.19566773,-0.02643191
265395999999.999,0.13450788,-0.52607771,0.83973202
3903789999999.8,0.53119435,-0.73763042,-0.41681401
793101999999.9948,-0.64234463,0.73225646,0.22626056
2612813333333.3374,0.76569289,0.45412658,0.45550351
733439333333.3304,-0.68810859,-0.72116694,-0.08015494
13178248666665.006,-0.07825878,0.3633508,0.92835972
15256155333330.355,0.31579231,-0.94878706,0.00885069
2295984000000.054,0.54508131,-0.59959995,-0.58597464
59544369999956.14,0.74931643,0.56602594,0.34371431
1053354666666.6512,0.57286545,-0.18031886,0.79956881
2592240000000.008,-0.26669556,-0.67897908,0.68400358
461871333333.336,0.77493588,-0.61470866,0.14699536
2207518666666.735,-0.34652593,-0.22367489,-0.91098261
414552666666.66833,-0.17535422,-0.5659981,-0.80554146
12246276666665.596,0.2434578,0.52551347,-0.81520788
3403857999999.879,-0.64799945,0.4517519,0.61320219
59624605999955.94,0.05957885,-0.11598816,0.99146211
1242629333333.3274,-0.32828959,0.71564748,0.61650192
933000666666.656,-0.46218936,0.84405004,0.27195685
1533742000000.017,-0.73765323,0.67382397,-0.04276653
816761333333.3271,0.25221,0.90685623,0.33764166
3075713333333.264,-0.22201666,-0.7782409,0.58740931
1359897333333.337,-0.68403488,-0.4660049,0.56119133
9431844666667.377,-0.63889289,0.50584778,-0.57959805
622343333333.3348,-0.91491549,0.27108904,-0.29906583
1248801333333.328,0.3246133,-0.11187231,-0.93920753
9693126000000.545,-0.480221,0.71634603,0.50619774
585311333333.3363,0.88479577,-0.46063896,0.07034334
6078391333333.587,-0.28914394,-0.91618425,0.27749271
1277603999999.9968,0.74835232,0.10635293,0.65471968
451584666666.66907,-0.71624472,0.69784521,0.00235761
7897074000000.829,0.8641035,-0.28893272,0.41212016
409409333333.3349,-0.14916185,0.41183311,0.89896843
1095529999999.9828,-0.4013759,-0.72100679,-0.5648421
1345496000000.0022,0.7650948,-0.27132837,-0.58396135
2203404000000.069,-0.52528915,0.83683638,0.15419525
1734332000000.033,0.14422999,0.79532597,0.58877356
2208547333333.4014,-0.5474626,-0.17834249,0.81760544
734467999999.9971,0.46542345,-0.22881519,-0.85499978
608970666666.6687,0.32986294,-0.82548803,0.45799558
172815999999.9999,0.31481962,-0.81708513,0.48297049
326087333333.33325,-0.1975113,0.77183739,0.6043644
